OBJECTID;Neighborhood;LAPD_Cost;LAPD_Days_in_Jail;LAPD_Arrests;LASD_Cost;LASD_Days_in_Jail;LASD_Arrests;F2010_Population;Combo_Cost;Combo_Cost_PerPop;Combo_Days;Combo_Days_PerPop;Combo_Arrests;Combo_Arrests_PerPop;spa;sup_dist;SHAPE_Length;SHAPE_Area
25;Bradbury;4597;20;8;30022;178;20;1292;34619;2,67949E+14;198;1,53251E+14;28;2,16718E+13;SPA 3 - San Gabriel;District 5;1,09996E+14;4,88285E+14
26;Brentwood;186170;810;483;55896;271;62;32540;242066;7,43903E+14;1081;3,32207E+13;545;1,67486E+14;SPA 5 - West;District 3;3,57323E+14;3,85174E+14
27;Burbank;926945;4033;2081;986142;6598;349;103340;1913087;1,85126E+13;10631;1,02874E+14;2430;2,35146E+14;SPA 2 - San Fernando;District 5;3,08284E+14;4,39286E+14
28;Calabasas;133307;580;352;627260;3726;415;24159;760567;3,14817E+14;4306;1,78236E+14;767;3,1748E+13;SPA 2 - San Fernando;District 3;4,27452E+14;4,6944E+14
29;Canoga Park;3452886;15023;7030;595681;3546;391;58943;4048567;6,86861E+14;18569;3,15033E+13;7421;1,25901E+13;SPA 2 - San Fernando;District 3;1,49436E+14;1,1018E+14
30;Carson;689290;2999;1358;19126800;125879;7627;91800;19816090;2,15862E+14;128878;1,4039E+14;8985;9,78758E+14;SPA 8 - South Bay;District 2;3,8972E+14;4,83042E+14
31;Carthay;69182;301;150;186617;1217;79;5068;255799;5,04734E+13;1518;2,99526E+14;229;4,51855E+14;SPA 4 - Metro;District 2;4,6383E+14;1,2764E+14
32;Castaic;72170;314;155;1550800;9734;812;13194;1622970;1,23008E+14;10048;7,61558E+14;967;7,32909E+14;SPA 2 - San Fernando;District 5;2,83714E+14;1,39209E+14
33;Castaic Canyons;66654;290;147;1718850;11062;788;42023;1785504;4,24887E+12;11352;2,70138E+14;935;2,22497E+14;SPA 2 - San Fernando;District 5;1,89771E+14;4,90248E+14
34;Century City;45738;199;115;24536;139;19;5713;70274;1,23007E+14;338;5,91633E+14;134;2,34553E+14;SPA 5 - West;District 3;5,46501E+14;1,77189E+14
35;Cerritos;53093;231;127;2022180;12663;1071;49041;2075273;4,23171E+14;12894;2,62923E+14;1198;2,44285E+14;SPA 7 - East;District 4;3,61686E+14;2,23528E+14
36;Charter Oak;16089;70;34;1281480;8729;390;10070;1297569;1,28855E+14;8799;8,73784E+14;424;4,21053E+14;SPA 3 - San Gabriel;District 5;1,73132E+14;2,33196E+14
37;Chatsworth;1099095;4782;2342;601190;3773;315;44264;1700285;3,84124E+14;8555;1,93272E+13;2657;6,00262E+14;SPA 2 - San Fernando;District 3;4,24492E+14;3,86456E+14
38;Chatsworth Reservoir;2758;12;8;1763;6;3;8;4521;565125;18;225;11;1375;SPA 2 - San Fernando;District 3;1,15772E+14;4,56478E+14
39;Cheviot Hills;44359;193;97;20671;122;14;9023;65030;7,20714E+14;315;3,49108E+13;111;1,23019E+14;SPA 5 - West;District 3;8,13273E+14;3,88506E+14
